Name,Data Split,Position,Predicted Fantasy Points,AvgPointsPerGame
Brent Rooker,Test,OF,8.44,7.98
Tyler Soderstrom,Train,OF,8.21,8.14
Nick Castellanos,Train,OF,6.9,6.76
Kyle Schwarber,Test,OF,9.32,10.31
Riley Greene,Train,OF,8.58,8.62
Steven Kwan,Test,OF,8.99,8.14
Juan Soto,Train,OF,8.3,8.42
Kerry Carpenter,Train,OF,7.56,7.33
Brandon Nimmo,Train,OF,6.64,6.47
Shohei Ohtani,Train,OF,12.32,12.74
Taylor Ward,Train,OF,8.51,8.61
Lawrence Butler,Train,OF,7.57,7.81
JJ Bleday,Test,OF,5.88,6.32
Michael Conforto,Test,OF,3.84,4.77
Andy Pages,Train,OF,7.84,8.0
Jorge Soler,Train,OF,6.17,6.3
George Springer,Train,OF,7.38,7.47
Kyle Stowers,Train,OF,9.06,8.89
Max Kepler,Train,OF,6.04,6.02
Nolan Jones,Train,OF,3.74,3.73
Kameron Misner,Train,OF,5.5,5.67
Anthony Santander,Train,OF,6.04,5.57
Tyrone Taylor,Train,OF,5.25,5.14
Jo Adell,Train,OF,5.06,5.05
Justyn-Henry Malloy,Train,OF,3.66,3.8
Christopher Morel,Test,OF,5.28,4.93
Kyren Paris,Train,OF,5.98,6.1
Myles Straw,Train,OF,4.03,3.49
Jhonkensy Noel,Train,OF,2.6,2.81
Johan Rojas,Train,OF,5.31,5.28
Nathan Lukes,Train,OF,5.93,5.63
Seth Brown,Train,OF,2.58,2.48
Brandon Marsh,Train,OF,3.83,3.91
Starling Marte,Train,OF,5.04,5.03
Dane Myers,Test,OF,6.77,7.17
Chandler Simpson,Train,OF,7.38,7.62
Mike Trout,Train,OF,7.82,7.83
Alan Roden,Train,OF,3.52,3.36
Chris Taylor,Train,OF,1.61,1.32
Jesse Winker,Train,OF,5.87,5.58
Jeff McNeil,Train,OF,6.12,5.96
Derek Hill,Train,OF,6.19,6.33
Travis Jankowski,Train,OF,2.98,3.38
Jake Mangum,Train,OF,7.18,7.38
Griffin Conine,Train,OF,6.01,6.15
Daulton Varsho,Test,OF,7.75,9.72
Ryan Kreidler,Train,OF,2.53,2.35
Lane Thomas,Test,OF,3.26,3.0
Matthew Lugo,Train,OF,6.58,6.75
Weston Wilson,Test,OF,5.24,3.64
Jonatan Clase,Train,OF,5.72,5.9
Jose Siri,Train,OF,3.13,3.5
Jonny DeLuca,Train,OF,7.58,7.67
Josh Lowe,Test,OF,8.4,7.22
James Outman,Train,OF,5.03,5.22
Akil Baddoo,Train,OF,2.39,2.43
Will Brennan,Train,OF,1.6,1.17
Gustavo Campero,Test,OF,2.16,3.4
Cal Stevenson,Train,OF,1.67,1.6
Pete Alonso,Test,1B,9.81,9.1
Bryce Harper,Train,1B,9.22,9.22
Spencer Torkelson,Train,1B,9.13,9.14
Vladimir Guerrero Jr.,Train,1B,7.56,7.58
Carlos Santana,Train,1B,7.06,7.06
Nolan Schanuel,Train,1B,6.78,6.77
Colt Keith,Train,1B,5.18,5.17
Jonathan Aranda,Train,1B,7.23,7.22
Kyle Manzardo,Train,1B,7.28,7.29
