Player,FantPos,Predicted Fantasy Points,2025PPR
Christian McCaffrey,RB,122.04,292.6
Breece Hall,RB,243.0,254.5
Bijan Robinson,RB,242.61,316.9
Travis Etienne Jr.,RB,199.8,125.8
Jonathan Taylor,RB,221.65,221.9
Rachaad White,RB,176.21,136.8
Kyren Williams,RB,263.96,269.5
Joe Mixon,RB,248.23,264.5
Jahmyr Gibbs,RB,267.74,316.5
Saquon Barkley,RB,254.78,316.4
Derrick Henry,RB,238.68,294.0
Alvin Kamara,RB,236.2,291.7
James Cook,RB,249.13,220.0
Isiah Pacheco,RB,172.89,139.4
Raheem Mostert,RB,113.71,123.6
De'Von Achane,RB,241.81,303.6
Kenneth Walker III,RB,163.94,235.7
Josh Jacobs,RB,209.03,286.6
Tony Pollard,RB,196.62,190.4
David Montgomery,RB,201.31,198.6
James Conner,RB,258.89,258.0
Najee Harris,RB,227.74,160.2
D'Andre Swift,RB,249.45,213.0
Jaylen Warren,RB,130.88,157.9
Brian Robinson Jr.,RB,192.21,175.0
Zamir White,RB,57.33,40.0
Javonte Williams,RB,168.53,162.6
Austin Ekeler,RB,137.93,153.2
Jerome Ford,RB,120.83,103.4
Rhamondre Stevenson,RB,220.49,146.6
Devin Singletary,RB,100.53,96.9
Aaron Jones,RB,228.55,257.2
Gus Edwards,RB,87.81,40.0
Zack Moss,RB,93.64,156.2
Ezekiel Elliott,RB,98.09,40.0
Tyjae Spears,RB,147.8,132.3
Chuba Hubbard,RB,198.32,212.0
Tyler Allgeier,RB,96.6,95.7
Antonio Gibson,RB,90.81,93.8
Zach Charbonnet,RB,170.82,158.6
Blake Corum,RB,62.75,59.4
Ty Chandler,RB,50.88,40.0
Trey Benson,RB,74.59,75.8
Khalil Herbert,RB,47.87,80.8
Jaleel McLaughlin,RB,94.95,103.8
Alexander Mattison,RB,128.74,40.0
Chase Brown,RB,227.35,240.0
Rico Dowdle,RB,209.65,103.6
MarShawn Lloyd,RB,69.07,40.0
Samaje Perine,RB,88.86,82.3
AJ Dillon,RB,47.45,35.3
Ray Davis,RB,106.43,82.5
Roschon Johnson,RB,107.1,125.4
Justice Hill,RB,86.25,100.7
Miles Sanders,RB,90.77,89.7
Kenneth Gainwell,RB,97.56,67.2
Bucky Irving,RB,211.2,250.7
Braelon Allen,RB,113.05,97.9
Tyrone Tracy Jr.,RB,188.51,148.1
Clyde Edwards-Helaire,RB,54.45,40.0
D'Onta Foreman,RB,49.81,40.0
Dameon Pierce,RB,64.36,38.1
Jamaal Williams,RB,66.04,40.0
Kendre Miller,RB,45.96,114.0
Keaton Mitchell,RB,69.58,56.9
Jaylen Wright,RB,57.07,76.1
Emari Demercado,RB,102.69,48.1
Elijah Mitchell,RB,45.47,77.8
Carson Steele,RB,78.74,40.0
Audric Estime,RB,69.08,81.3
Chase Edmonds,RB,53.78,40.0
Ashton Jeanty,RB,221.82,246.8
RJ Harvey,RB,157.32,182.5
TreVeyon Henderson,RB,133.47,173.6
Omarion Hampton,RB,164.81,165.9
Quinshon Judkins,RB,136.37,142.5
Bhayshul Tuten,RB,149.46,133.2
Kaleb Johnson,RB,143.68,130.6
Kareem Hunt,RB,171.58,130.4
Cam Skattebo,RB,133.47,127.5
Jaydon Blue,RB,97.44,123.1
Isaac Guerendo,RB,97.97,120.1
Jordan Mason,RB,142.77,111.3
Tank Bigsby,RB,179.24,109.0
Dylan Sampson,RB,118.73,104.6
Ty Johnson,RB,89.32,97.0
Woody Marks,RB,117.46,95.4
Trevor Etienne,RB,118.73,88.6
Tyler Warren,RB,101.91,133.9
CeeDee Lamb,WR/TE,266.06,304.6
Tyreek Hill,WR/TE,264.58,261.0
Amon-Ra St. Brown,WR/TE,298.51,296.1
Puka Nacua,WR/TE,220.82,304.4
A.J. Brown,WR/TE,186.66,257.7
Ja'Marr Chase,WR/TE,287.36,367.1
Mike Evans,WR/TE,234.87,262.6
Davante Adams,WR/TE,252.1,286.9
DJ Moore,WR/TE,237.42,253.6
Stefon Diggs,WR/TE,167.75,187.4
Nico Collins,WR/TE,191.46,283.5
Justin Jefferson,WR/TE,274.52,313.4
Marvin Harrison Jr.,WR/TE,177.6,227.3
Michael Pittman Jr.,WR/TE,205.0,180.6
Chris Olave,WR/TE,186.64,193.5
Keenan Allen,WR/TE,248.88,131.0
Brandon Aiyuk,WR/TE,143.4,196.3
Garrett Wilson,WR/TE,285.12,227.3
Deebo Samuel Sr.,WR/TE,115.61,197.8
DeVonta Smith,WR/TE,251.15,229.5
Sam LaPorta,WR/TE,194.13,192.8
DK Metcalf,WR/TE,186.96,219.1
Travis Kelce,WR/TE,246.35,233.2
Amari Cooper,WR/TE,141.49,131.0
Malik Nabers,WR/TE,258.88,323.0
Calvin Ridley,WR/TE,195.96,206.4
Cooper Kupp,WR/TE,177.42,193.9
Jaylen Waddle,WR/TE,179.05,190.8
Zay Flowers,WR/TE,247.59,215.6
Chris Godwin,WR/TE,163.52,231.0
George Pickens,WR/TE,178.04,225.5
Rashee Rice,WR/TE,175.43,266.5
Evan Engram,WR/TE,162.45,189.0
Drake London,WR/TE,248.37,260.6
Terry McLaurin,WR/TE,250.49,257.4
Tank Dell,WR/TE,0.0,0.0
Jayden Reed,WR/TE,160.91,185.6
DeAndre Hopkins,WR/TE,170.58,120.0
Jordan Addison,WR/TE,205.25,227.5
Mark Andrews,WR/TE,161.6,188.1
Adam Thielen,WR/TE,173.54,155.2
George Kittle,WR/TE,232.2,253.5
Jakobi Meyers,WR/TE,227.29,219.2
Trey McBride,WR/TE,273.99,243.7
David Njoku,WR/TE,172.75,186.0
Tyler Lockett,WR/TE,144.87,119.1
Courtland Sutton,WR/TE,254.29,217.9
Christian Kirk,WR/TE,136.55,179.7
T.J. Hockenson,WR/TE,171.64,166.5
Jake Ferguson,WR/TE,157.06,151.2
Tee Higgins,WR/TE,200.32,271.3
Ladd McConkey,WR/TE,247.02,273.2
Diontae Johnson,WR/TE,130.16,92.1
Xavier Worthy,WR/TE,164.97,242.4
Brian Thomas Jr.,WR/TE,256.31,296.3
Dalton Kincaid,WR/TE,150.34,127.8
Brandin Cooks,WR/TE,129.23,117.9
Romeo Doubs,WR/TE,138.04,159.4
Jaxon Smith-Njigba,WR/TE,261.69,247.1
Curtis Samuel,WR/TE,138.46,106.6
Kyle Pitts,WR/TE,142.55,128.8
Keon Coleman,WR/TE,138.39,155.5
Gabe Davis,WR/TE,122.71,131.0
Jerry Jeudy,WR/TE,231.48,211.7
Brock Bowers,WR/TE,231.23,262.6
Marquise Brown,WR/TE,114.24,164.7
Rashid Shaheed,WR/TE,127.31,161.8
Cole Kmet,WR/TE,143.11,99.0
Joshua Palmer,WR/TE,128.97,125.7
Dalton Schultz,WR/TE,129.43,134.1
Josh Downs,WR/TE,208.72,163.0
Dallas Goedert,WR/TE,131.07,171.1
Ja'Lynn Polk,WR/TE,107.0,131.0
Christian Watson,WR/TE,142.98,134.8
Khalil Shakir,WR/TE,217.76,170.3
Wan'Dale Robinson,WR/TE,246.67,180.3
Adonai Mitchell,WR/TE,119.21,131.0
Darius Slayton,WR/TE,129.32,98.3
Demario Douglas,WR/TE,169.93,151.2
Tyler Boyd,WR/TE,133.9,131.0
Dontayvion Wicks,WR/TE,120.17,112.9
Taysom Hill,WR/TE,97.01,159.6
Tyler Conklin,WR/TE,132.68,118.6
Michael Wilson,WR/TE,129.72,144.8
Jameson Williams,WR/TE,160.58,188.6
Hunter Henry,WR/TE,179.45,144.6
DJ Chark,WR/TE,109.0,131.0
Cade Otton,WR/TE,166.99,141.2
Tim Patrick,WR/TE,125.26,131.0
Chigoziem Okonkwo,WR/TE,119.84,118.6
Elijah Moore,WR/TE,139.52,131.0
Darnell Mooney,WR/TE,180.16,190.5
Kendrick Bourne,WR/TE,111.14,131.0
Josh Reynolds,WR/TE,123.36,89.5
Pat Freiermuth,WR/TE,175.69,157.5
Jalen McMillan,WR/TE,122.51,129.7
