Player,Data Split,FantPos,Predicted Fantasy Points,2025PPR
Trevor Etienne,Train,RB,105.24,88.6
Justice Hill,Train,RB,104.48,100.7
Rhamondre Stevenson,Train,RB,173.92,146.6
Zack Moss,Train,RB,141.12,156.2
Jerome Ford,Train,RB,117.98,103.4
Bucky Irving,Train,RB,223.24,250.7
Zamir White,Train,RB,42.7,40.0
Javonte Williams,Train,RB,156.02,162.6
Carson Steele,Train,RB,55.02,40.0
Chase Brown,Train,RB,240.04,240.0
Ty Chandler,Train,RB,43.91,40.0
Josh Jacobs,Train,RB,266.04,286.6
RJ Harvey,Train,RB,169.42,182.5
Tyler Allgeier,Train,RB,103.72,95.7
Ty Johnson,Train,RB,97.13,97.0
Joe Mixon,Train,RB,255.42,264.5
Emari Demercado,Train,RB,72.68,48.1
Tank Bigsby,Train,RB,114.61,109.0
James Cook,Train,RB,228.09,220.0
Isiah Pacheco,Train,RB,120.25,139.4
Blake Corum,Train,RB,64.71,59.4
Najee Harris,Train,RB,191.07,160.2
Tyler Warren,Train,RB,107.42,133.9
Kenneth Walker III,Train,RB,198.73,235.7
Kendre Miller,Train,RB,92.42,114.0
Chuba Hubbard,Train,RB,215.76,212.0
Tyrone Tracy Jr.,Train,RB,161.09,148.1
Derrick Henry,Train,RB,272.98,294.0
David Montgomery,Train,RB,201.75,198.6
Jordan Mason,Train,RB,114.3,111.3
Alvin Kamara,Train,RB,267.54,291.7
Clyde Edwards-Helaire,Train,RB,43.35,40.0
Kyren Williams,Train,RB,271.17,269.5
Jaylen Wright,Train,RB,74.44,76.1
Jaylen Warren,Train,RB,142.0,157.9
Bhayshul Tuten,Train,RB,151.26,133.2
Chase Edmonds,Train,RB,47.53,40.0
Ezekiel Elliott,Train,RB,58.19,40.0
Devin Singletary,Train,RB,110.32,96.9
Roschon Johnson,Train,RB,115.82,125.4
Braelon Allen,Train,RB,100.54,97.9
Elijah Mitchell,Train,RB,67.5,77.8
Breece Hall,Train,RB,242.88,254.5
AJ Dillon,Train,RB,41.49,35.3
Brian Robinson Jr.,Train,RB,172.19,175.0
MarShawn Lloyd,Train,RB,62.97,40.0
Antonio Gibson,Train,RB,105.92,93.8
Christian McCaffrey,Train,RB,219.37,292.6
Samaje Perine,Train,RB,96.38,82.3
Quinshon Judkins,Train,RB,144.83,142.5
Audric Estime,Train,RB,82.03,81.3
Austin Ekeler,Train,RB,142.07,153.2
Woody Marks,Train,RB,98.58,95.4
Trey Benson,Train,RB,75.55,75.8
D'Onta Foreman,Train,RB,46.27,40.0
TreVeyon Henderson,Train,RB,151.26,173.6
Ray Davis,Train,RB,93.7,82.5
Kareem Hunt,Train,RB,156.76,130.4
Saquon Barkley,Train,RB,295.38,316.4
Gus Edwards,Train,RB,57.42,40.0
Rachaad White,Train,RB,158.09,136.8
Bijan Robinson,Train,RB,296.0,316.9
Zach Charbonnet,Train,RB,156.42,158.6
Dylan Sampson,Train,RB,105.24,104.6
Ashton Jeanty,Train,RB,232.03,246.8
