Player,FantPos,2025PPR,Predicted Fantasy Points (CV),Predicted Fantasy Points (FT),Residual_CV,Residual_FT
Lamar Jackson,QB,450.0,295.93,426.55,-154.1,-23.4
Joe Burrow,QB,439.1,261.2,372.48,-177.9,-66.6
Josh Allen,QB,431.3,293.53,407.91,-137.8,-23.4
Jalen Hurts,QB,422.8,287.4,400.82,-135.4,-22.0
Jayden Daniels,QB,414.9,316.21,391.51,-98.7,-23.4
Baker Mayfield,QB,389.7,323.83,365.6,-65.9,-24.1
Kyler Murray,QB,386.2,310.67,363.53,-75.5,-22.7
Brock Purdy,QB,360.6,350.28,352.6,-10.3,-8.0
Dak Prescott,QB,357.5,302.29,311.1,-55.2,-46.4
Justin Fields,QB,356.8,275.9,326.72,-80.9,-30.1
Bo Nix,QB,355.0,297.55,359.86,-57.4,4.9
Jared Goff,QB,347.4,318.77,338.73,-28.6,-8.7
Caleb Williams,QB,345.4,318.66,327.66,-26.7,-17.7
Jordan Love,QB,333.3,318.38,327.49,-14.9,-5.8
Justin Herbert,QB,326.5,298.52,327.56,-28.0,1.1
Matthew Stafford,QB,326.0,322.79,313.53,-3.2,-12.5
Geno Smith,QB,322.4,318.42,301.38,-4.0,-21.0
Patrick Mahomes II,QB,318.0,321.77,322.49,3.8,4.5
Tua Tagovailoa,QB,315.8,288.81,315.63,-27.0,-0.2
C.J. Stroud,QB,314.8,322.97,310.49,8.2,-4.3
Trevor Lawrence,QB,307.1,325.76,288.45,18.7,-18.7
J.J. McCarthy,QB,299.6,243.22,276.18,-56.4,-23.4
Michael Penix Jr.,QB,299.6,205.77,271.63,-93.8,-28.0
Drake Maye,QB,295.3,303.71,305.17,8.4,9.9
Aaron Rodgers,QB,292.0,273.55,296.64,-18.4,4.6
Russell Wilson,QB,279.2,329.5,289.16,50.3,10.0
Sam Darnold,QB,272.5,281.19,264.98,8.7,-7.5
Bryce Young,QB,271.3,298.61,288.54,27.3,17.2
Anthony Richardson,QB,270.3,168.2,240.88,-102.1,-29.4
Cam Ward,QB,264.9,239.23,250.96,-25.7,-13.9
Tyler Shough,QB,170.5,274.16,200.81,103.7,30.3
Deshaun Watson,QB,88.0,155.24,102.01,67.2,14.0
Drew Lock,QB,88.0,142.49,123.96,54.5,36.0
Will Levis,QB,88.0,231.91,123.74,143.9,35.7
Kirk Cousins,QB,82.0,233.42,119.05,151.4,37.0
Daniel Jones,QB,56.4,245.62,156.37,189.2,100.0
Aidan O'Connell,QB,15.9,182.95,64.74,167.0,48.8
Sam Howell,QB,15.7,249.23,102.46,233.5,86.8
Bijan Robinson,RB,316.9,239.87,293.76,-77.0,-23.1
Jahmyr Gibbs,RB,316.5,260.54,302.52,-56.0,-14.0
Saquon Barkley,RB,316.4,252.13,290.91,-64.3,-25.5
De'Von Achane,RB,303.6,235.03,278.82,-68.6,-24.8
