Player,Data Split,FantPos,Predicted Fantasy Points,2025PPR
Ty Johnson,Train,RB,91.58,97.0
Tyjae Spears,Train,RB,134.76,132.3
Javonte Williams,Train,RB,158.8,162.6
Rico Dowdle,Train,RB,152.4,103.6
Aaron Jones,Train,RB,253.68,257.2
Alvin Kamara,Train,RB,272.9,291.7
Jaylen Wright,Train,RB,68.99,76.1
Jerome Ford,Train,RB,100.06,103.4
Audric Estime,Train,RB,77.17,81.3
Saquon Barkley,Train,RB,284.73,316.4
Elijah Mitchell,Train,RB,63.89,77.8
Rachaad White,Train,RB,155.7,136.8
Quinshon Judkins,Train,RB,142.35,142.5
Blake Corum,Train,RB,60.87,59.4
Alexander Mattison,Train,RB,83.87,40.0
Kenneth Walker III,Train,RB,212.75,235.7
Bucky Irving,Train,RB,229.78,250.7
Ezekiel Elliott,Train,RB,59.06,40.0
Joe Mixon,Train,RB,258.67,264.5
Kenneth Gainwell,Train,RB,74.62,67.2
Jamaal Williams,Train,RB,55.77,40.0
David Montgomery,Train,RB,202.28,198.6
TreVeyon Henderson,Train,RB,144.78,173.6
Zamir White,Train,RB,49.03,40.0
Emari Demercado,Train,RB,58.41,48.1
Isiah Pacheco,Train,RB,125.97,139.4
Brian Robinson Jr.,Train,RB,175.2,175.0
Travis Etienne Jr.,Train,RB,134.29,125.8
Josh Jacobs,Train,RB,271.84,286.6
Antonio Gibson,Train,RB,97.57,93.8
Jahmyr Gibbs,Train,RB,295.71,316.5
Chase Edmonds,Train,RB,42.64,40.0
Kyren Williams,Train,RB,261.14,269.5
Carson Steele,Train,RB,55.8,40.0
Chuba Hubbard,Train,RB,209.68,212.0
Cam Skattebo,Train,RB,144.78,127.5
Tyler Warren,Train,RB,120.05,133.9
Miles Sanders,Train,RB,88.2,89.7
Khalil Herbert,Train,RB,71.14,80.8
AJ Dillon,Train,RB,40.05,35.3
Chase Brown,Train,RB,239.32,240.0
Trevor Etienne,Train,RB,95.53,88.6
De'Von Achane,Train,RB,273.95,303.6
Woody Marks,Train,RB,95.16,95.4
Austin Ekeler,Train,RB,143.19,153.2
RJ Harvey,Train,RB,171.63,182.5
Ty Chandler,Train,RB,43.01,40.0
Tyrone Tracy Jr.,Train,RB,165.68,148.1
MarShawn Lloyd,Train,RB,50.33,40.0
Kareem Hunt,Train,RB,142.52,130.4
Braelon Allen,Train,RB,96.78,97.9
Gus Edwards,Train,RB,59.28,40.0
Dylan Sampson,Train,RB,95.53,104.6
Clyde Edwards-Helaire,Train,RB,45.39,40.0
Kendre Miller,Train,RB,89.66,114.0
Bhayshul Tuten,Train,RB,144.78,133.2
Tyler Allgeier,Train,RB,94.53,95.7
Rhamondre Stevenson,Train,RB,175.05,146.6
Breece Hall,Train,RB,250.97,254.5
Roschon Johnson,Train,RB,119.57,125.4
Najee Harris,Train,RB,194.95,160.2
Bijan Robinson,Train,RB,308.05,316.9
Jaylen Warren,Train,RB,146.1,157.9
