Player,Data Split,FantPos,Predicted Fantasy Points,2025PPR
Jahmyr Gibbs,Cross-Validated,RB,276.0,316.5
Saquon Barkley,Cross-Validated,RB,270.0,316.4
Bijan Robinson,Cross-Validated,RB,273.0,316.9
Derrick Henry,Cross-Validated,RB,261.0,294.0
De'Von Achane,Cross-Validated,RB,260.0,303.6
Josh Jacobs,Cross-Validated,RB,254.0,286.6
Kyren Williams,Cross-Validated,RB,269.0,269.5
James Cook,Cross-Validated,RB,246.0,220.0
Alvin Kamara,Cross-Validated,RB,256.0,291.7
Chase Brown,Cross-Validated,RB,216.0,240.0
James Conner,Cross-Validated,RB,252.0,258.0
Bucky Irving,Cross-Validated,RB,209.0,250.7
Jonathan Taylor,Cross-Validated,RB,222.0,221.9
Chuba Hubbard,Cross-Validated,RB,224.0,212.0
Aaron Jones,Cross-Validated,RB,223.0,257.2
Breece Hall,Cross-Validated,RB,250.0,254.5
Joe Mixon,Cross-Validated,RB,252.0,264.5
David Montgomery,Cross-Validated,RB,209.0,198.6
D'Andre Swift,Cross-Validated,RB,214.0,213.0
Najee Harris,Cross-Validated,RB,200.0,160.2
Tony Pollard,Cross-Validated,RB,201.0,190.4
Rachaad White,Cross-Validated,RB,176.0,136.8
Rico Dowdle,Cross-Validated,RB,137.0,103.6
Zach Charbonnet,Cross-Validated,RB,154.0,158.6
Tyrone Tracy Jr.,Cross-Validated,RB,148.0,148.1
Kenneth Walker III,Cross-Validated,RB,196.0,235.7
Rhamondre Stevenson,Cross-Validated,RB,166.0,146.6
Brian Robinson Jr.,Cross-Validated,RB,173.0,175.0
Javonte Williams,Cross-Validated,RB,151.0,162.6
Kareem Hunt,Cross-Validated,RB,148.0,130.4
Alexander Mattison,Cross-Validated,RB,107.0,40.0
Jerome Ford,Cross-Validated,RB,139.0,103.4
Austin Ekeler,Cross-Validated,RB,141.0,153.2
Travis Etienne Jr.,Cross-Validated,RB,160.0,125.8
Tank Bigsby,Cross-Validated,RB,118.0,109.0
Justice Hill,Cross-Validated,RB,107.0,100.7
Jaylen Warren,Cross-Validated,RB,137.0,157.9
Ray Davis,Cross-Validated,RB,101.0,82.5
Jordan Mason,Cross-Validated,RB,106.0,111.3
Tyjae Spears,Cross-Validated,RB,120.0,132.3
Tyler Allgeier,Cross-Validated,RB,105.0,95.7
Antonio Gibson,Cross-Validated,RB,104.0,93.8
Jaleel McLaughlin,Cross-Validated,RB,102.0,103.8
Devin Singletary,Cross-Validated,RB,121.0,96.9
Isaac Guerendo,Cross-Validated,RB,104.0,120.1
Ty Johnson,Cross-Validated,RB,97.0,97.0
Braelon Allen,Cross-Validated,RB,102.0,97.9
Zack Moss,Cross-Validated,RB,134.0,156.2
Samaje Perine,Cross-Validated,RB,97.0,82.3
Miles Sanders,Cross-Validated,RB,88.0,89.7
Roschon Johnson,Cross-Validated,RB,116.0,125.4
Raheem Mostert,Cross-Validated,RB,148.0,123.6
Gus Edwards,Cross-Validated,RB,104.0,40.0
Kenneth Gainwell,Cross-Validated,RB,77.0,67.2
Ezekiel Elliott,Cross-Validated,RB,81.0,40.0
Isiah Pacheco,Cross-Validated,RB,135.0,139.4
Emari Demercado,Cross-Validated,RB,66.0,48.1
Audric Estime,Cross-Validated,RB,79.0,81.3
Christian McCaffrey,Cross-Validated,RB,166.0,292.6
Trey Benson,Cross-Validated,RB,76.0,75.8
Dameon Pierce,Cross-Validated,RB,56.0,38.1
Jamaal Williams,Cross-Validated,RB,61.0,40.0
Blake Corum,Cross-Validated,RB,76.0,59.4
D'Onta Foreman,Cross-Validated,RB,56.0,40.0
Khalil Herbert,Cross-Validated,RB,63.0,80.8
Zamir White,Cross-Validated,RB,52.0,40.0
Kendre Miller,Cross-Validated,RB,76.0,114.0
Ty Chandler,Cross-Validated,RB,52.0,40.0
Jaylen Wright,Cross-Validated,RB,75.0,76.1
Carson Steele,Cross-Validated,RB,73.0,40.0
Clyde Edwards-Helaire,Cross-Validated,RB,53.0,40.0
Keaton Mitchell,Cross-Validated,RB,65.0,56.9
MarShawn Lloyd,Cross-Validated,RB,80.0,40.0
Ashton Jeanty,Cross-Validated,RB,138.0,246.8
RJ Harvey,Cross-Validated,RB,136.0,182.5
TreVeyon Henderson,Cross-Validated,RB,137.0,173.6
Omarion Hampton,Cross-Validated,RB,138.0,165.9
Quinshon Judkins,Cross-Validated,RB,138.0,142.5
Bhayshul Tuten,Cross-Validated,RB,137.0,133.2
Kaleb Johnson,Cross-Validated,RB,138.0,130.6
Cam Skattebo,Cross-Validated,RB,137.0,127.5
Jaydon Blue,Cross-Validated,RB,138.0,123.1
Dylan Sampson,Cross-Validated,RB,138.0,104.6
Woody Marks,Cross-Validated,RB,136.0,95.4
Trevor Etienne,Cross-Validated,RB,138.0,88.6
AJ Dillon,Cross-Validated,RB,77.0,35.3
Elijah Mitchell,Cross-Validated,RB,84.0,77.8
Chase Edmonds,Cross-Validated,RB,82.0,40.0
Ja'Marr Chase,Cross-Validated,WR,336.0,367.1
Justin Jefferson,Cross-Validated,WR,294.0,313.4
Amon-Ra St. Brown,Cross-Validated,WR,293.0,296.1
Brian Thomas Jr.,Cross-Validated,WR,289.0,296.3
Drake London,Cross-Validated,WR,259.0,260.6
Malik Nabers,Cross-Validated,WR,300.0,323.0
Terry McLaurin,Cross-Validated,WR,257.0,257.4
CeeDee Lamb,Cross-Validated,WR,289.0,304.6
Jaxon Smith-Njigba,Cross-Validated,WR,245.0,247.1
Garrett Wilson,Cross-Validated,WR,241.0,227.3
Davante Adams,Cross-Validated,WR,270.0,286.9
Ladd McConkey,Cross-Validated,WR,259.0,273.2
Jerry Jeudy,Cross-Validated,WR,214.0,211.7
Mike Evans,Cross-Validated,WR,263.0,262.6
Courtland Sutton,Cross-Validated,WR,232.0,217.9
DJ Moore,Cross-Validated,WR,256.0,253.6
Tee Higgins,Cross-Validated,WR,250.0,271.3
Tyreek Hill,Cross-Validated,WR,261.0,261.0
Jakobi Meyers,Cross-Validated,WR,225.0,219.2
A.J. Brown,Cross-Validated,WR,251.0,257.7
Jordan Addison,Cross-Validated,WR,232.0,227.5
Jameson Williams,Cross-Validated,WR,205.0,188.6
Nico Collins,Cross-Validated,WR,266.0,283.5
Zay Flowers,Cross-Validated,WR,220.0,215.6
Puka Nacua,Cross-Validated,WR,277.0,304.4
DeVonta Smith,Cross-Validated,WR,227.0,229.5
Calvin Ridley,Cross-Validated,WR,211.0,206.4
Jayden Reed,Cross-Validated,WR,194.0,185.6
Marvin Harrison Jr.,Cross-Validated,WR,224.0,227.3
Darnell Mooney,Cross-Validated,WR,191.0,190.5
DK Metcalf,Cross-Validated,WR,210.0,219.1
Xavier Worthy,Cross-Validated,WR,219.0,242.4
Keenan Allen,Cross-Validated,WR,168.0,131.0
Josh Downs,Cross-Validated,WR,174.0,163.0
Wan'Dale Robinson,Cross-Validated,WR,182.0,180.3
Khalil Shakir,Cross-Validated,WR,177.0,170.3
Cooper Kupp,Cross-Validated,WR,194.0,193.9
Quentin Johnston,Cross-Validated,WR,183.0,190.1
Rashod Bateman,Cross-Validated,WR,185.0,193.3
Michael Pittman Jr.,Cross-Validated,WR,182.0,180.6
George Pickens,Cross-Validated,WR,209.0,225.5
Alec Pierce,Cross-Validated,WR,142.0,131.7
Deebo Samuel Sr.,Cross-Validated,WR,183.0,197.8
Jalen Tolbert,Cross-Validated,WR,142.0,138.1
Jaylen Waddle,Cross-Validated,WR,182.0,190.8
Demario Douglas,Cross-Validated,WR,154.0,151.2
DeAndre Hopkins,Cross-Validated,WR,140.0,120.0
Rome Odunze,Cross-Validated,WR,166.0,178.7
Ray-Ray McCloud,Cross-Validated,WR,145.0,126.3
Tank Dell,Cross-Validated,WR,55.0,0.0
Adam Thielen,Cross-Validated,WR,155.0,155.2
Chris Godwin,Cross-Validated,WR,206.0,231.0
Nick Westbrook-Ikhine,Cross-Validated,WR,155.0,165.4
Jalen McMillan,Cross-Validated,WR,142.0,129.7
Romeo Doubs,Cross-Validated,WR,155.0,159.4
Tre Tucker,Cross-Validated,WR,129.0,130.6
Marvin Mims Jr.,Cross-Validated,WR,141.0,141.5
Xavier Legette,Cross-Validated,WR,139.0,134.3
Michael Wilson,Cross-Validated,WR,139.0,144.8
Demarcus Robinson,Cross-Validated,WR,112.0,93.1
Amari Cooper,Cross-Validated,WR,140.0,131.0
Stefon Diggs,Cross-Validated,WR,190.0,187.4
Kayshon Boutte,Cross-Validated,WR,133.0,127.5
Tyler Lockett,Cross-Validated,WR,133.0,119.1
Elijah Moore,Cross-Validated,WR,138.0,131.0
Andrei Iosivas,Cross-Validated,WR,116.0,105.5
Calvin Austin III,Cross-Validated,WR,140.0,151.3
Keon Coleman,Cross-Validated,WR,149.0,155.5
Dontayvion Wicks,Cross-Validated,WR,121.0,112.9
Darius Slayton,Cross-Validated,WR,110.0,98.3
Joshua Palmer,Cross-Validated,WR,130.0,125.7
Christian Watson,Cross-Validated,WR,133.0,134.8
Tutu Atwell,Cross-Validated,WR,124.0,117.8
Ricky Pearsall,Cross-Validated,WR,150.0,159.9
Jalen Coker,Cross-Validated,WR,137.0,136.3
Tim Patrick,Cross-Validated,WR,134.0,131.0
Diontae Johnson,Cross-Validated,WR,108.0,92.1
Noah Brown,Cross-Validated,WR,114.0,99.3
Cedric Tillman,Cross-Validated,WR,136.0,130.4
Rashid Shaheed,Cross-Validated,WR,153.0,161.8
Tyler Boyd,Cross-Validated,WR,134.0,131.0
Chris Olave,Cross-Validated,WR,192.0,193.5
Christian Kirk,Cross-Validated,WR,162.0,179.7
Brandin Cooks,Cross-Validated,WR,129.0,117.9
Kendrick Bourne,Cross-Validated,WR,128.0,131.0
Rashee Rice,Cross-Validated,WR,227.0,266.5
Curtis Samuel,Cross-Validated,WR,122.0,106.6
Brandon Aiyuk,Cross-Validated,WR,191.0,196.3
Mike Williams,Cross-Validated,WR,124.0,117.2
Kalif Raymond,Cross-Validated,WR,127.0,131.0
Gabe Davis,Cross-Validated,WR,132.0,131.0
Adonai Mitchell,Cross-Validated,WR,138.0,131.0
Nelson Agholor,Cross-Validated,WR,126.0,131.0
Jahan Dotson,Cross-Validated,WR,130.0,131.0
Josh Reynolds,Cross-Validated,WR,106.0,89.5
Trey Palmer,Cross-Validated,WR,131.0,131.0
Ja'Lynn Polk,Cross-Validated,WR,135.0,131.0
K.J. Osborn,Cross-Validated,WR,132.0,131.0
Marquise Brown,Cross-Validated,WR,149.0,164.7
DJ Chark,Cross-Validated,WR,130.0,131.0
Travis Hunter,Cross-Validated,WR,153.0,192.2
Tetairoa McMillan,Cross-Validated,WR,153.0,159.1
Matthew Golden,Cross-Validated,WR,153.0,158.2
Jack Bech,Cross-Validated,WR,153.0,140.3
Emeka Egbuka,Cross-Validated,WR,139.0,140.3
Luther Burden III,Cross-Validated,WR,144.0,137.6
Jayden Higgins,Cross-Validated,WR,153.0,111.0
Jaylin Noel,Cross-Validated,WR,139.0,131.0
Rondale Moore,Cross-Validated,WR,103.0,93.7
Brock Bowers,Cross-Validated,TE,170.0,262.6
Trey McBride,Cross-Validated,TE,189.0,243.7
George Kittle,Cross-Validated,TE,198.0,253.5
Jonnu Smith,Cross-Validated,TE,186.0,204.9
Travis Kelce,Cross-Validated,TE,197.0,233.2
Mark Andrews,Cross-Validated,TE,178.0,188.1
Zach Ertz,Cross-Validated,TE,168.0,174.6
Sam LaPorta,Cross-Validated,TE,190.0,192.8
Pat Freiermuth,Cross-Validated,TE,163.0,157.5
Tucker Kraft,Cross-Validated,TE,147.0,148.9
David Njoku,Cross-Validated,TE,185.0,186.0
Hunter Henry,Cross-Validated,TE,160.0,144.6
Mike Gesicki,Cross-Validated,TE,142.0,139.5
Cade Otton,Cross-Validated,TE,150.0,141.2
Kyle Pitts,Cross-Validated,TE,137.0,128.8
Isaiah Likely,Cross-Validated,TE,139.0,137.8
Juwan Johnson,Cross-Validated,TE,137.0,123.7
Tyler Conklin,Cross-Validated,TE,130.0,118.6
Cole Kmet,Cross-Validated,TE,145.0,99.0
Dalton Schultz,Cross-Validated,TE,146.0,134.1
Chigoziem Okonkwo,Cross-Validated,TE,127.0,118.6
Noah Gray,Cross-Validated,TE,111.0,75.9
Jake Ferguson,Cross-Validated,TE,155.0,151.2
Noah Fant,Cross-Validated,TE,118.0,111.0
Dallas Goedert,Cross-Validated,TE,143.0,171.1
Taysom Hill,Cross-Validated,TE,137.0,159.6
Dalton Kincaid,Cross-Validated,TE,135.0,127.8
Brenton Strange,Cross-Validated,TE,110.0,105.9
Evan Engram,Cross-Validated,TE,165.0,189.0
T.J. Hockenson,Cross-Validated,TE,164.0,166.5
Ja'Tavion Sanders,Cross-Validated,TE,107.0,83.7
Theo Johnson,Cross-Validated,TE,105.0,113.0
Colby Parkinson,Cross-Validated,TE,99.0,104.6
Dawson Knox,Cross-Validated,TE,100.0,104.6
Tommy Tremble,Cross-Validated,TE,104.0,75.9
Tanner Hudson,Cross-Validated,TE,102.0,72.0
Michael Mayer,Cross-Validated,TE,91.0,62.5
Kylen Granson,Cross-Validated,TE,95.0,104.6
Tyler Higbee,Cross-Validated,TE,116.0,130.9
Daniel Bellinger,Cross-Validated,TE,93.0,72.0
Ben Sinnott,Cross-Validated,TE,107.0,104.6
Gerald Everett,Cross-Validated,TE,118.0,104.6
Luke Musgrave,Cross-Validated,TE,95.0,54.4
Jaheim Bell,Cross-Validated,TE,103.0,72.0
Tyler Warren,Cross-Validated,TE,110.0,133.9
Colston Loveland,Cross-Validated,TE,110.0,119.3
Lamar Jackson,Cross-Validated,QB,451.0,479.2
Josh Allen,Cross-Validated,QB,420.0,431.3
Joe Burrow,Cross-Validated,QB,389.0,439.1
Baker Mayfield,Cross-Validated,QB,377.0,389.7
Jayden Daniels,Cross-Validated,QB,393.0,414.9
Jared Goff,Cross-Validated,QB,337.0,347.4
Bo Nix,Cross-Validated,QB,355.0,355.0
Jalen Hurts,Cross-Validated,QB,410.0,422.8
Sam Darnold,Cross-Validated,QB,288.0,272.5
Kyler Murray,Cross-Validated,QB,354.0,386.2
Patrick Mahomes II,Cross-Validated,QB,327.0,318.0
Justin Herbert,Cross-Validated,QB,331.0,326.5
Geno Smith,Cross-Validated,QB,326.0,322.4
Brock Purdy,Cross-Validated,QB,354.0,360.6
Aaron Rodgers,Cross-Validated,QB,297.0,292.0
Caleb Williams,Cross-Validated,QB,335.0,345.4
Jordan Love,Cross-Validated,QB,338.0,333.3
C.J. Stroud,Cross-Validated,QB,320.0,314.8
Matthew Stafford,Cross-Validated,QB,312.0,326.0
Bryce Young,Cross-Validated,QB,271.0,271.3
Kirk Cousins,Cross-Validated,QB,159.0,82.0
Tua Tagovailoa,Cross-Validated,QB,287.0,315.8
Drake Maye,Cross-Validated,QB,293.0,295.3
Russell Wilson,Cross-Validated,QB,279.0,279.2
Anthony Richardson,Cross-Validated,QB,259.0,270.3
Trevor Lawrence,Cross-Validated,QB,297.0,307.1
Daniel Jones,Cross-Validated,QB,113.0,56.4
Will Levis,Cross-Validated,QB,128.0,88.0
Dak Prescott,Cross-Validated,QB,303.0,357.5
