Player,Data Split,FantPos,Predicted Fantasy Points,2025PPR
Jahmyr Gibbs,Test,RB,277.3,316.5
Saquon Barkley,Train,RB,307.56,316.4
Bijan Robinson,Train,RB,315.82,316.9
Derrick Henry,Train,RB,287.55,294.0
De'Von Achane,Test,RB,209.47,303.6
Josh Jacobs,Train,RB,286.73,286.6
Kyren Williams,Train,RB,275.95,269.5
James Cook,Train,RB,221.96,220.0
Alvin Kamara,Train,RB,287.21,291.7
Chase Brown,Train,RB,241.69,240.0
James Conner,Test,RB,270.33,258.0
Bucky Irving,Train,RB,245.45,250.7
Jonathan Taylor,Test,RB,244.53,221.9
Chuba Hubbard,Train,RB,213.6,212.0
Aaron Jones,Train,RB,252.93,257.2
Breece Hall,Train,RB,257.94,254.5
Joe Mixon,Train,RB,265.03,264.5
David Montgomery,Train,RB,199.52,198.6
D'Andre Swift,Test,RB,199.05,213.0
Najee Harris,Train,RB,171.91,160.2
Tony Pollard,Train,RB,187.01,190.4
Rachaad White,Train,RB,141.47,136.8
Rico Dowdle,Test,RB,140.75,103.6
Zach Charbonnet,Train,RB,166.17,158.6
Tyrone Tracy Jr.,Train,RB,154.66,148.1
Kenneth Walker III,Train,RB,225.54,235.7
Rhamondre Stevenson,Test,RB,197.56,146.6
Brian Robinson Jr.,Train,RB,172.17,175.0
Javonte Williams,Train,RB,162.71,162.6
Kareem Hunt,Train,RB,142.13,130.4
Alexander Mattison,Train,RB,55.82,40.0
Jerome Ford,Train,RB,106.17,103.4
Austin Ekeler,Train,RB,146.58,153.2
Travis Etienne Jr.,Test,RB,165.47,125.8
Tank Bigsby,Train,RB,107.86,109.0
Justice Hill,Train,RB,101.52,100.7
Jaylen Warren,Train,RB,149.41,157.9
Ray Davis,Train,RB,96.95,82.5
Jordan Mason,Train,RB,106.7,111.3
Tyjae Spears,Train,RB,130.28,132.3
Tyler Allgeier,Train,RB,88.62,95.7
Antonio Gibson,Train,RB,94.16,93.8
Jaleel McLaughlin,Train,RB,90.18,103.8
Devin Singletary,Train,RB,94.93,96.9
Isaac Guerendo,Train,RB,106.15,120.1
Ty Johnson,Train,RB,92.85,97.0
Braelon Allen,Train,RB,100.4,97.9
Zack Moss,Train,RB,145.17,156.2
Samaje Perine,Train,RB,84.97,82.3
Miles Sanders,Train,RB,86.64,89.7
Roschon Johnson,Train,RB,122.22,125.4
Raheem Mostert,Train,RB,123.15,123.6
Gus Edwards,Train,RB,43.56,40.0
Kenneth Gainwell,Test,RB,67.75,67.2
Ezekiel Elliott,Train,RB,49.73,40.0
Isiah Pacheco,Train,RB,141.48,139.4
Emari Demercado,Train,RB,61.64,48.1
Audric Estime,Train,RB,76.41,81.3
Christian McCaffrey,Train,RB,286.52,292.6
Trey Benson,Train,RB,68.56,75.8
Dameon Pierce,Train,RB,40.8,38.1
Jamaal Williams,Train,RB,42.42,40.0
Blake Corum,Train,RB,59.07,59.4
D'Onta Foreman,Train,RB,48.28,40.0
Khalil Herbert,Test,RB,30.31,80.8
Zamir White,Test,RB,48.54,40.0
Kendre Miller,Train,RB,97.9,114.0
Ty Chandler,Test,RB,51.02,40.0
Jaylen Wright,Test,RB,54.41,76.1
Carson Steele,Train,RB,46.67,40.0
Clyde Edwards-Helaire,Train,RB,43.73,40.0
Keaton Mitchell,Train,RB,64.33,56.9
MarShawn Lloyd,Train,RB,40.98,40.0
Ashton Jeanty,Train,RB,243.49,246.8
RJ Harvey,Train,RB,157.35,182.5
TreVeyon Henderson,Train,RB,160.07,173.6
Omarion Hampton,Test,RB,154.9,165.9
Quinshon Judkins,Train,RB,154.9,142.5
Bhayshul Tuten,Train,RB,160.07,133.2
Kaleb Johnson,Test,RB,154.9,130.6
Cam Skattebo,Test,RB,160.07,127.5
Jaydon Blue,Train,RB,111.68,123.1
Dylan Sampson,Train,RB,111.68,104.6
Woody Marks,Train,RB,110.65,95.4
Trevor Etienne,Test,RB,111.68,88.6
AJ Dillon,Test,RB,49.09,35.3
Elijah Mitchell,Train,RB,65.79,77.8
Chase Edmonds,Train,RB,37.75,40.0
Ja'Marr Chase,Test,WR,297.82,367.1
Justin Jefferson,Train,WR,311.35,313.4
Amon-Ra St. Brown,Train,WR,294.89,296.1
Brian Thomas Jr.,Train,WR,297.92,296.3
Drake London,Test,WR,274.0,260.6
Malik Nabers,Train,WR,303.15,323.0
Terry McLaurin,Train,WR,255.77,257.4
CeeDee Lamb,Train,WR,297.66,304.6
Jaxon Smith-Njigba,Train,WR,240.78,247.1
Garrett Wilson,Train,WR,252.06,227.3
Davante Adams,Test,WR,212.31,286.9
Ladd McConkey,Test,WR,261.61,273.2
Jerry Jeudy,Test,WR,217.72,211.7
