Player,Data Split,FantPos,Predicted Fantasy Points,ESPN2025PPR
Christian McCaffrey,Test,RB,159.88,322.0
Breece Hall,Train,RB,237.03,233.4
Bijan Robinson,Train,RB,331.47,336.3
Travis Etienne Jr.,Train,RB,151.11,155.3
Jonathan Taylor,Test,RB,234.21,296.2
Rachaad White,Train,RB,132.59,130.2
Kyren Williams,Train,RB,281.11,279.9
Joe Mixon,Train,RB,252.99,254.9
Jahmyr Gibbs,Train,RB,323.86,317.3
Saquon Barkley,Train,RB,314.49,324.0
Derrick Henry,Test,RB,250.81,280.9
Alvin Kamara,Train,RB,264.74,265.2
James Cook,Test,RB,234.36,268.7
Isiah Pacheco,Train,RB,200.15,208.9
Raheem Mostert,Train,RB,47.6,46.3
De'Von Achane,Train,RB,296.12,305.3
Kenneth Walker III,Train,RB,258.54,264.5
Josh Jacobs,Train,RB,280.76,282.4
Tony Pollard,Test,RB,159.9,219.5
David Montgomery,Train,RB,214.56,213.5
James Conner,Train,RB,260.97,262.1
Najee Harris,Train,RB,134.22,117.9
D'Andre Swift,Test,RB,196.09,225.1
Jaylen Warren,Train,RB,179.53,194.9
Brian Robinson Jr.,Train,RB,205.65,201.4
Zamir White,Train,RB,38.92,40.0
Javonte Williams,Test,RB,193.9,211.5
Austin Ekeler,Train,RB,168.23,172.0
Jerome Ford,Train,RB,104.42,104.7
Rhamondre Stevenson,Train,RB,190.9,184.3
Devin Singletary,Train,RB,36.69,40.0
Aaron Jones,Train,RB,219.33,219.8
Gus Edwards,Train,RB,51.79,40.0
Zack Moss,Test,RB,56.47,68.2
Ezekiel Elliott,Train,RB,50.06,40.0
Tyjae Spears,Train,RB,163.84,148.1
Chuba Hubbard,Train,RB,259.94,258.2
Tyler Allgeier,Train,RB,84.57,97.8
Antonio Gibson,Train,RB,10.39,10.2
Zach Charbonnet,Train,RB,129.99,113.0
Blake Corum,Train,RB,69.62,52.6
Ty Chandler,Train,RB,37.1,40.0
Trey Benson,Train,RB,97.4,113.6
Khalil Herbert,Train,RB,35.42,40.0
Jaleel McLaughlin,Train,RB,15.61,15.6
Alexander Mattison,Train,RB,41.42,40.0
Chase Brown,Train,RB,260.84,261.5
Rico Dowdle,Train,RB,98.97,83.8
MarShawn Lloyd,Train,RB,78.57,86.8
Samaje Perine,Train,RB,32.47,31.6
AJ Dillon,Train,RB,32.64,35.3
Ray Davis,Train,RB,75.26,81.2
Roschon Johnson,Train,RB,83.78,103.8
Justice Hill,Test,RB,35.07,107.9
Miles Sanders,Train,RB,39.08,44.2
Kenneth Gainwell,Train,RB,12.06,12.9
Bucky Irving,Train,RB,276.4,283.0
Braelon Allen,Train,RB,72.72,84.0
Tyrone Tracy Jr.,Train,RB,199.66,197.1
Clyde Edwards-Helaire,Train,RB,35.36,28.0
D'Onta Foreman,Train,RB,33.32,40.0
Dameon Pierce,Train,RB,45.45,40.0
Jamaal Williams,Train,RB,40.73,40.0
Kendre Miller,Train,RB,77.76,81.1
Keaton Mitchell,Test,RB,54.33,27.9
Jaylen Wright,Test,RB,55.65,73.0
Emari Demercado,Train,RB,41.91,26.9
Elijah Mitchell,Test,RB,27.47,25.4
Carson Steele,Test,RB,54.09,40.0
Audric Estime,Train,RB,42.89,40.0
Chase Edmonds,Train,RB,39.5,40.0
Ashton Jeanty,Train,RB,292.13,299.9
RJ Harvey,Train,RB,209.99,218.8
TreVeyon Henderson,Train,RB,202.12,206.5
Omarion Hampton,Train,RB,224.69,239.8
Quinshon Judkins,Train,RB,192.61,145.7
Bhayshul Tuten,Test,RB,202.12,63.7
Kaleb Johnson,Train,RB,192.61,217.3
Kareem Hunt,Train,RB,100.5,96.8
Cam Skattebo,Test,RB,202.12,155.2
Jaydon Blue,Test,RB,36.84,79.4
Isaac Guerendo,Train,RB,83.04,87.1
Jordan Mason,Train,RB,124.84,118.8
Tank Bigsby,Train,RB,129.67,130.5
Dylan Sampson,Test,RB,36.84,92.9
Ty Johnson,Test,RB,58.74,54.6
Woody Marks,Train,RB,39.08,36.4
Trevor Etienne,Train,RB,36.84,21.7
CeeDee Lamb,Train,WR/TE,298.52,314.7
Tyreek Hill,Train,WR/TE,259.07,262.7
Amon-Ra St. Brown,Train,WR/TE,293.35,290.4
Puka Nacua,Train,WR/TE,304.52,321.4
A.J. Brown,Train,WR/TE,267.48,275.2
Ja'Marr Chase,Train,WR/TE,345.18,353.0
Mike Evans,Train,WR/TE,249.72,239.4
Davante Adams,Train,WR/TE,257.42,256.9
DJ Moore,Train,WR/TE,252.26,238.0
Stefon Diggs,Test,WR/TE,168.31,200.5
Nico Collins,Train,WR/TE,271.2,277.6
Justin Jefferson,Train,WR/TE,301.62,323.7
Marvin Harrison Jr.,Test,WR/TE,165.71,240.4
Michael Pittman Jr.,Train,WR/TE,201.48,182.8
Chris Olave,Train,WR/TE,195.22,207.0
Keenan Allen,Test,WR/TE,219.09,131.0
Brandon Aiyuk,Train,WR/TE,124.27,103.3
Garrett Wilson,Train,WR/TE,255.89,240.8
Deebo Samuel Sr.,Test,WR/TE,124.2,200.8
DeVonta Smith,Test,WR/TE,226.83,222.6
Sam LaPorta,Train,WR/TE,188.72,191.6
DK Metcalf,Train,WR/TE,214.52,240.1
Travis Kelce,Train,WR/TE,182.7,175.8
Amari Cooper,Train,WR/TE,93.03,131.0
Malik Nabers,Test,WR/TE,259.43,299.8
Calvin Ridley,Train,WR/TE,218.79,230.0
Cooper Kupp,Train,WR/TE,221.23,204.6
Jaylen Waddle,Train,WR/TE,191.57,225.7
Zay Flowers,Train,WR/TE,232.98,232.2
Chris Godwin,Test,WR/TE,152.07,191.5
George Pickens,Test,WR/TE,193.1,219.4
Rashee Rice,Test,WR/TE,174.79,206.5
Evan Engram,Train,WR/TE,158.2,168.4
Drake London,Train,WR/TE,254.09,267.1
Terry McLaurin,Train,WR/TE,244.33,246.3
Tank Dell,Train,WR/TE,0.0,0.0
Jayden Reed,Train,WR/TE,184.14,181.3
DeAndre Hopkins,Train,WR/TE,108.85,86.4
Jordan Addison,Train,WR/TE,187.52,189.9
Mark Andrews,Train,WR/TE,154.58,170.8
Adam Thielen,Train,WR/TE,154.43,167.9
George Kittle,Train,WR/TE,234.57,226.7
Jakobi Meyers,Train,WR/TE,227.86,215.3
Trey McBride,Train,WR/TE,252.19,259.6
David Njoku,Train,WR/TE,180.06,173.1
Tyler Lockett,Test,WR/TE,123.11,117.3
Courtland Sutton,Train,WR/TE,226.35,227.3
Christian Kirk,Train,WR/TE,124.28,110.5
