Player,FantPos,Predicted Fantasy Points,2025PPR
Christian McCaffrey,RB,251.93,292.6
Breece Hall,RB,249.99,254.5
Bijan Robinson,RB,290.75,316.9
Travis Etienne Jr.,RB,141.82,125.8
Jonathan Taylor,RB,222.2,221.9
Rachaad White,RB,154.37,136.8
Kyren Williams,RB,270.01,269.5
Joe Mixon,RB,252.9,264.5
Jahmyr Gibbs,RB,298.08,316.5
Saquon Barkley,RB,285.91,316.4
Derrick Henry,RB,274.95,294.0
Alvin Kamara,RB,275.33,291.7
James Cook,RB,223.85,220.0
Isiah Pacheco,RB,140.5,139.4
Raheem Mostert,RB,115.78,123.6
De'Von Achane,RB,281.21,303.6
Kenneth Walker III,RB,215.03,235.7
Josh Jacobs,RB,280.15,286.6
Tony Pollard,RB,186.09,190.4
David Montgomery,RB,204.98,198.6
James Conner,RB,257.54,258.0
Najee Harris,RB,187.22,160.2
D'Andre Swift,RB,204.51,213.0
Jaylen Warren,RB,141.53,157.9
Brian Robinson Jr.,RB,172.93,175.0
Zamir White,RB,50.89,40.0
Javonte Williams,RB,159.03,162.6
Austin Ekeler,RB,148.45,153.2
Jerome Ford,RB,105.71,103.4
Rhamondre Stevenson,RB,173.71,146.6
Devin Singletary,RB,93.67,96.9
Aaron Jones,RB,244.76,257.2
Gus Edwards,RB,60.35,40.0
Zack Moss,RB,129.73,156.2
Ezekiel Elliott,RB,53.46,40.0
Tyjae Spears,RB,134.62,132.3
Chuba Hubbard,RB,211.08,212.0
Tyler Allgeier,RB,91.55,95.7
Antonio Gibson,RB,90.13,93.8
Zach Charbonnet,RB,161.8,158.6
Blake Corum,RB,68.16,59.4
Ty Chandler,RB,50.89,40.0
Trey Benson,RB,69.67,75.8
Khalil Herbert,RB,61.41,80.8
Jaleel McLaughlin,RB,94.14,103.8
Alexander Mattison,RB,86.45,40.0
Chase Brown,RB,237.13,240.0
Rico Dowdle,RB,126.48,103.6
MarShawn Lloyd,RB,60.01,40.0
Samaje Perine,RB,91.15,82.3
AJ Dillon,RB,52.43,35.3
Ray Davis,RB,103.23,82.5
Roschon Johnson,RB,111.47,125.4
Justice Hill,RB,97.17,100.7
Miles Sanders,RB,93.08,89.7
Kenneth Gainwell,RB,80.35,67.2
Bucky Irving,RB,234.95,250.7
Braelon Allen,RB,106.62,97.9
Tyrone Tracy Jr.,RB,160.07,148.1
Clyde Edwards-Helaire,RB,52.43,40.0
D'Onta Foreman,RB,50.89,40.0
Dameon Pierce,RB,54.36,38.1
Jamaal Williams,RB,50.89,40.0
Kendre Miller,RB,80.75,114.0
Keaton Mitchell,RB,67.21,56.9
Jaylen Wright,RB,67.61,76.1
Emari Demercado,RB,74.27,48.1
Elijah Mitchell,RB,59.88,77.8
Carson Steele,RB,66.09,40.0
Audric Estime,RB,74.93,81.3
Chase Edmonds,RB,52.43,40.0
Ashton Jeanty,RB,224.74,246.8
RJ Harvey,RB,148.93,182.5
TreVeyon Henderson,RB,141.19,173.6
Omarion Hampton,RB,152.5,165.9
Quinshon Judkins,RB,141.19,142.5
Bhayshul Tuten,RB,141.19,133.2
Kaleb Johnson,RB,141.19,130.6
Kareem Hunt,RB,127.57,130.4
Cam Skattebo,RB,141.19,127.5
Jaydon Blue,RB,105.04,123.1
Isaac Guerendo,RB,105.44,120.1
Jordan Mason,RB,123.46,111.3
Tank Bigsby,RB,124.48,109.0
Dylan Sampson,RB,105.04,104.6
Ty Johnson,RB,94.26,97.0
Woody Marks,RB,102.87,95.4
Trevor Etienne,RB,105.04,88.6
CeeDee Lamb,WR/TE,293.03,304.6
Tyreek Hill,WR/TE,256.4,261.0
Amon-Ra St. Brown,WR/TE,300.43,296.1
Puka Nacua,WR/TE,287.42,304.4
A.J. Brown,WR/TE,255.63,257.7
Ja'Marr Chase,WR/TE,345.3,367.1
Mike Evans,WR/TE,262.18,262.6
Davante Adams,WR/TE,276.01,286.9
DJ Moore,WR/TE,255.25,253.6
Stefon Diggs,WR/TE,185.61,187.4
Nico Collins,WR/TE,260.45,283.5
